Subject,Run,ConditionName,MEDIAN_RT_LARGER,MEDIAN_RT_SMALLER,PROP_LARGER,PROP_NLR,PROP_SMALLER
41,1,REWARD,268.5,258.5,0.5,0.0,0.5
42,0,PUNISH,418.0,436.0,0.5,0.0,0.5
42,0,REWARD,593.5,576.5,0.5,0.0,0.5
42,1,PUNISH,543.5,588.0,0.625,0.0,0.375
42,1,REWARD,514.0,411.0,0.6875,0.0,0.3125
43,0,PUNISH,233.5,,1.0,0.0,0.0
43,0,REWARD,404.0,,1.0,0.0,0.0
43,1,PUNISH,,230.0,0.0,0.0,1.0
43,1,REWARD,,308.0,0.0,0.0,1.0
44,0,PUNISH,339.0,402.0,0.4,0.0,0.6
44,0,REWARD,443.0,398.0,0.6875,0.0,0.3125
44,1,PUNISH,371.0,449.5,0.375,0.0,0.625
44,1,REWARD,493.0,415.0,0.5625,0.0,0.4375
45,0,PUNISH,360.0,650.0,0.1875,0.0,0.8125
45,0,REWARD,595.5,414.0,0.625,0.0,0.375
45,1,PUNISH,689.0,649.0,0.875,0.0,0.125
45,1,REWARD,711.0,723.0,0.5625,0.0,0.4375
46,0,PUNISH,368.5,727.0,0.875,0.0,0.125
46,0,REWARD,338.0,306.0,0.0625,0.0,0.9375
46,1,PUNISH,691.0,535.5,0.125,0.0,0.875
46,1,REWARD,,505.0,0.0,0.0,1.0
47,0,PUNISH,385.0,362.0,0.4375,0.0,0.5625
47,0,REWARD,441.0,439.0,0.4375,0.0,0.5625
47,1,PUNISH,427.0,408.0,0.375,0.0,0.625
47,1,REWARD,395.0,551.0,0.5625,0.0,0.4375
48,0,PUNISH,520.0,333.0,0.4375,0.0,0.5625
48,0,REWARD,578.0,573.0,0.75,0.0,0.25
48,1,PUNISH,458.0,614.0,0.6875,0.0,0.3125
48,1,REWARD,491.0,629.0,0.625,0.0,0.375
49,0,PUNISH,434.0,420.0,0.5625,0.0,0.4375
49,0,REWARD,336.5,320.0,0.5,0.0,0.5
49,1,PUNISH,719.0,578.5,0.625,0.0,0.375
49,1,REWARD,576.5,757.0,0.625,0.0,0.375
50,0,PUNISH,448.0,360.0,0.6875,0.0,0.3125
50,0,REWARD,414.0,358.5,0.2,0.0,0.8
50,1,PUNISH,606.5,496.0,0.75,0.0,0.25
50,1,REWARD,560.5,463.5,0.625,0.0,0.375
51,0,PUNISH,392.0,352.0,0.4375,0.0,0.5625
51,0,REWARD,551.0,391.0,0.5625,0.0,0.4375
51,1,PUNISH,396.0,425.0,0.4375,0.0,0.5625
51,1,REWARD,585.0,518.0,0.6,0.0,0.4
52,0,PUNISH,412.0,234.5,0.5,0.0,0.5
52,0,REWARD,285.0,256.0,0.5625,0.0,0.4375
52,1,PUNISH,291.5,311.0,0.5,0.0,0.5
52,1,REWARD,288.0,358.0,0.46666666666699996,0.0,0.533333333333
53,0,PUNISH,223.0,209.0,0.8125,0.0,0.1875
53,0,REWARD,209.0,267.0,0.5625,0.0,0.4375
53,1,PUNISH,248.0,227.0,0.625,0.0,0.375
53,1,REWARD,500.0,559.0,0.4375,0.0,0.5625
